#,01 июля 2022,и,в,н,п,заб,про,разн,о
1,Айнтрахт Франкфурт,0,0,0,0,0,0,0,0
2,Аугсбург,0,0,0,0,0,0,0,0
3,Баварія,0,0,0,0,0,0,0,0
4,Баєр Леверкузен,0,0,0,0,0,0,0,0
5,Боруссія Дортмунд,0,0,0,0,0,0,0,0
6,Боруссія Менхенгладбах,0,0,0,0,0,0,0,0
7,Бохум,0,0,0,0,0,0,0,0
8,Вердер,0,0,0,0,0,0,0,0
9,Вольфсбург,0,0,0,0,0,0,0,0
10,Герта Берлін,0,0,0,0,0,0,0,0
11,Гоффенгайм,0,0,0,0,0,0,0,0
12,Кельн,0,0,0,0,0,0,0,0
13,Майнц,0,0,0,0,0,0,0,0
14,РБ Лейпциг,0,0,0,0,0,0,0,0
15,Уніон Берлін,0,0,0,0,0,0,0,0
16,Фрайбург,0,0,0,0,0,0,0,0
17,Шальке,0,0,0,0,0,0,0,0
18,Штутгарт,0,0,0,0,0,0,0,0
