#,01июля2022,и,в,н,п,заб,про,разн,о
1,Альмерія,0,0,0,0,0,0,0,0
2,Атлетік,0,0,0,0,0,0,0,0
3,Атлетіко,0,0,0,0,0,0,0,0
4,Барселона,0,0,0,0,0,0,0,0
5,Бетіс,0,0,0,0,0,0,0,0
6,Валенсія,0,0,0,0,0,0,0,0
7,Вальядолід,0,0,0,0,0,0,0,0
8,Вільярреал,0,0,0,0,0,0,0,0
9,Ельче,0,0,0,0,0,0,0,0
10,Еспаньйол,0,0,0,0,0,0,0,0
11,Жирона,0,0,0,0,0,0,0,0
12,Кадіс,0,0,0,0,0,0,0,0
13,Мальорка,0,0,0,0,0,0,0,0
14,Осасуна,0,0,0,0,0,0,0,0
15,Райо Вальєкано,0,0,0,0,0,0,0,0
16,Реал Мадрид,0,0,0,0,0,0,0,0
17,Реал Сосьєдад,0,0,0,0,0,0,0,0
18,Севілья,0,0,0,0,0,0,0,0
19,Сельта,0,0,0,0,0,0,0,0
20,Хетафе,0,0,0,0,0,0,0,0
