#,01 июля 2022,и,в,н,п,заб,про,разн,о
1,Аталанта,0,0,0,0,0,0,0,0
2,Болонья,0,0,0,0,0,0,0,0
3,Верона,0,0,0,0,0,0,0,0
4,Емполі,0,0,0,0,0,0,0,0
5,Інтер,0,0,0,0,0,0,0,0
6,Кремонезе,0,0,0,0,0,0,0,0
7,Лаціо,0,0,0,0,0,0,0,0
8,Лечче,0,0,0,0,0,0,0,0
9,Мілан,0,0,0,0,0,0,0,0
10,Монца,0,0,0,0,0,0,0,0
11,Наполі,0,0,0,0,0,0,0,0
12,Рома,0,0,0,0,0,0,0,0
13,Салернітана,0,0,0,0,0,0,0,0
14,Сампдорія,0,0,0,0,0,0,0,0
15,Сассуоло,0,0,0,0,0,0,0,0
16,Спеція,0,0,0,0,0,0,0,0
17,Торіно,0,0,0,0,0,0,0,0
18,Удінезе,0,0,0,0,0,0,0,0
19,Фіорентина,0,0,0,0,0,0,0,0
20,Ювентус,0,0,0,0,0,0,0,0
