#,01июля2022,и,в,н,п,заб,про,разн,о
1,Арока,0,0,0,0,0,0,0,0
2,Бенфіка,0,0,0,0,0,0,0,0
3,Боавішта,0,0,0,0,0,0,0,0
4,Брага,0,0,0,0,0,0,0,0
5,Візела,0,0,0,0,0,0,0,0
6,Віторія Гімарайнш,0,0,0,0,0,0,0,0
7,Ешторіл,0,0,0,0,0,0,0,0
8,Жил Вісенте,0,0,0,0,0,0,0,0
9,Каса Піа,0,0,0,0,0,0,0,0
10,Марітіму,0,0,0,0,0,0,0,0
11,Пасуш Феррейра,0,0,0,0,0,0,0,0
12,Портімоненсе,0,0,0,0,0,0,0,0
13,Порту,0,0,0,0,0,0,0,0
14,Ріу Аве,0,0,0,0,0,0,0,0
15,Санта-Клара,0,0,0,0,0,0,0,0
16,Спортінг Лісабон,0,0,0,0,0,0,0,0
17,Фамалікан,0,0,0,0,0,0,0,0
18,Шавіш,0,0,0,0,0,0,0,0
