#,01июля2022,и,в,н,п,заб,про,разн,о
1,Адана Демірспор,0,0,0,0,0,0,0,0
2,Аланіяспор,0,0,0,0,0,0,0,0
3,Анкарагюджю,0,0,0,0,0,0,0,0
4,Антальяспор,0,0,0,0,0,0,0,0
5,Башакшехір,0,0,0,0,0,0,0,0
6,Бешикташ,0,0,0,0,0,0,0,0
7,Газіантеп,0,0,0,0,0,0,0,0
8,Галатасарай,0,0,0,0,0,0,0,0
9,Гіресунспор,0,0,0,0,0,0,0,0
10,Істанбулспор,0,0,0,0,0,0,0,0
11,Кайсеріспор,0,0,0,0,0,0,0,0
12,Карагюмрюк,0,0,0,0,0,0,0,0
13,Касимпаша,0,0,0,0,0,0,0,0
14,Коньяспор,0,0,0,0,0,0,0,0
15,Сівасспор,0,0,0,0,0,0,0,0
16,Трабзонспор,0,0,0,0,0,0,0,0
17,Умранієспор,0,0,0,0,0,0,0,0
18,Фенербахче,0,0,0,0,0,0,0,0
19,Хатайспор,0,0,0,0,0,0,0,0
